"GameID","GameDate","NumberOfInjuries","SQRTNumberOfInjuries","Week","RestDays","RushYards","PassYards","TotalYards","PointsScored","PercentYardsRush","Surface","CategoriesRestDays"
2023091400,"2023-09-14",5,2.23606797749979,2,8,287,517,804,62,0.356965174129353,"Grass","Short"
2023091700,"2023-09-17",0,0,2,14,295,375,670,49,0.440298507462687,"Turf","Normal"
2023091701,"2023-09-17",1,1,2,13,238,452,690,48,0.344927536231884,"Turf","Normal"
2023091702,"2023-09-17",3,1.73205080756888,2,14,244,453,697,51,0.350071736011478,"Turf","Normal"
2023091703,"2023-09-17",5,2.23606797749979,2,17,184,627,811,68,0.226880394574599,"Turf","Long"
2023091704,"2023-09-17",3,1.73205080756888,2,14,178,564,742,51,0.23989218328841,"Turf","Normal"
2023091705,"2023-09-17",3,1.73205080756888,2,17,175,495,670,26,0.261194029850746,"Grass","Long"
2023091706,"2023-09-17",3,1.73205080756888,2,14,187,486,673,44,0.277860326894502,"Turf","Normal"
2023091707,"2023-09-17",1,1,2,14,202,481,683,51,0.295754026354319,"Turf","Normal"
2023091708,"2023-09-17",3,1.73205080756888,2,14,278,540,818,59,0.339853300733496,"Grass","Normal"
2023091709,"2023-09-17",5,2.23606797749979,2,14,248,503,751,53,0.330226364846871,"Turf","Normal"
2023091710,"2023-09-17",3,1.73205080756888,2,13,198,399,597,40,0.331658291457286,"Turf","Normal"
2023091711,"2023-09-17",4,2,2,14,244,543,787,68,0.310038119440915,"Grass","Normal"
2023091712,"2023-09-17",3,1.73205080756888,2,14,233,444,677,41,0.344165435745938,"Turf","Normal"
2023091800,"2023-09-18",1,1,2,16,234,346,580,37,0.403448275862069,"Turf","Normal"
2023091801,"2023-09-18",3,1.73205080756888,2,16,253,410,663,48,0.381598793363499,"Grass","Normal"
2023092100,"2023-09-21",4,2,3,8,170,421,591,42,0.287648054145516,"Grass","Short"
2023092400,"2023-09-24",2,1.4142135623731,3,14,325,366,691,41,0.470332850940666,"Grass","Normal"
2023092401,"2023-09-24",2,1.4142135623731,3,13,104,331,435,30,0.239080459770115,"Grass","Normal"
2023092402,"2023-09-24",5,2.23606797749979,3,14,159,382,541,26,0.293900184842884,"Turf","Normal"
